keyge,group,category,description
lithium,environment,metal,Lithium
beryllium,environment,metal,Beryllium
sodium,environment,metal,Sodium
magnesium,environment,metal,Magnesium
aluminum,environment,metal,Aluminum
potassium,environment,metal,Potassium
calcium,environment,metal,Calcium
scandium,environment,metal,Scandium
titanium,environment,metal,Titanium
vanadium,environment,metal,Vanadium
chromium,environment,metal,Chromium
manganese,environment,metal,Manganese
iron,environment,metal,Iron
cobalt,environment,metal,Cobalt
nickel,environment,metal,Nickel
copper,environment,metal,Copper
zinc,environment,metal,Zinc
gallium,environment,metal,Gallium
rubidium,environment,metal,Rubidium
strontium,environment,metal,Strontium
yttrium,environment,metal,Yttrium
zirconium,environment,metal,Zirconium
niobium,environment,metal,Niobium
molybdenum,environment,metal,Molybdenum
technetium,environment,metal,Technetium
ruthenium,environment,metal,Ruthenium
rhodium,environment,metal,Rhodium
palladium,environment,metal,Palladium
silver,environment,metal,Silver
cadmium,environment,metal,Cadmium
indium,environment,metal,Indium
tin,environment,metal,Tin
cesium,environment,metal,Cesium
barium,environment,metal,Barium
lanthanum,environment,metal,Lanthanum
cerium,environment,metal,Cerium
praseodymium,environment,metal,Praseodymium
neodymium,environment,metal,Neodymium
promethium,environment,metal,Promethium
samarium,environment,metal,Samarium
europium,environment,metal,Europium
gadolinium,environment,metal,Gadolinium
terbium,environment,metal,Terbium
dysprosium,environment,metal,Dysprosium
holmium,environment,metal,Holmium
erbium,environment,metal,Erbium
thulium,environment,metal,Thulium
ytterbium,environment,metal,Ytterbium
lutetium,environment,metal,Lutetium
hafnium,environment,metal,Hafnium
tantalum,environment,metal,Tantalum
tungsten,environment,metal,Tungsten
rhenium,environment,metal,Rhenium
osmium,environment,metal,Osmium
iridium,environment,metal,Iridium
platinum,environment,metal,Platinum
gold,environment,metal,Gold
mercury,environment,metal,Mercury
thallium,environment,metal,Thallium
lead,environment,metal,Lead
bismuth,environment,metal,Bismuth
polonium,environment,metal,Polonium
francium,environment,metal,Francium
radium,environment,metal,Radium
actinium,environment,metal,Actinium
thorium,environment,metal,Thorium
protactinium,environment,metal,Protactinium
uranium,environment,metal,Uranium
neptunium,environment,metal,Neptunium
plutonium,environment,metal,Plutonium
americium,environment,metal,Americium
curium,environment,metal,Curium
berkelium,environment,metal,Berkelium
californium,environment,metal,Californium
einsteinium,environment,metal,Einsteinium
fermium,environment,metal,Fermium
mendelevium,environment,metal,Mendelevium
nobelium,environment,metal,Nobelium
lawrencium,environment,metal,Lawrencium
rutherfordium,environment,metal,Rutherfordium
dubnium,environment,metal,Dubnium
seaborgium,environment,metal,Seaborgium
bohrium,environment,metal,Bohrium
hassium,environment,metal,Hassium
meitnerium,environment,metal,Meitnerium
darmstadtium,environment,metal,Darmstadtium
roentgenium,environment,metal,Roentgenium
copernicium,environment,metal,Copernicium
nihonium,environment,metal,Nihonium
flerovium,environment,metal,Flerovium
moscovium,environment,metal,Moscovium
livermorium,environment,metal,Livermorium
