keyge,word
chem:c000061,chem:c000061
chem:c000081,chem:c000081
chem:c000090,chem:c000090
chem:c000121,chem:c000121
chem:c000152,chem:c000152
chem:c000154,chem:c000154
chem:c000188,chem:c000188
chem:c000228,chem:c000228
chem:c000380,chem:c000380
chem:c000433,chem:c000433
chem:c000470,chem:c000470
chem:c000474,chem:c000474
chem:c000475,chem:c000475
chem:c000481,chem:c000481
chem:c000482,chem:c000482
chem:c000488,chem:c000488
chem:c000499,chem:c000499
chem:c000505,chem:c000505
chem:c000511,chem:c000511
chem:c000515,chem:c000515
chem:c000516,chem:c000516
chem:c000518,chem:c000518
chem:c000536,chem:c000536
chem:c000541,chem:c000541
chem:c000543,chem:c000543
chem:c000588486,chem:c000588486
chem:c000588503,chem:c000588503
chem:c000588556,chem:c000588556
chem:c000588561,chem:c000588561
chem:c000588582,chem:c000588582
chem:c000588695,chem:c000588695
chem:c000588741,chem:c000588741
chem:c000588809,chem:c000588809
chem:c000588914,chem:c000588914
chem:c000588915,chem:c000588915
chem:c000588918,chem:c000588918
chem:c000588958,chem:c000588958
chem:c000589029,chem:c000589029
chem:c000589030,chem:c000589030
chem:c000589147,chem:c000589147
chem:c000589162,chem:c000589162
chem:c000589248,chem:c000589248
chem:c000589253,chem:c000589253
chem:c000589285,chem:c000589285
chem:c000589286,chem:c000589286
chem:c000589288,chem:c000589288
chem:c000589290,chem:c000589290
chem:c000589490,chem:c000589490
chem:c000589596,chem:c000589596
chem:c000589651,chem:c000589651
chem:c000589733,chem:c000589733
chem:c000589977,chem:c000589977
chem:c000590451,chem:c000590451
chem:c000590659,chem:c000590659
chem:c000590771,chem:c000590771
chem:c000590786,chem:c000590786
chem:c000590793,chem:c000590793
chem:c000590832,chem:c000590832
chem:c000591022,chem:c000591022
chem:c000591154,chem:c000591154
chem:c000591165,chem:c000591165
chem:c000591222,chem:c000591222
chem:c000591235,chem:c000591235
chem:c000591541,chem:c000591541
chem:c000591546,chem:c000591546
chem:c000591600,chem:c000591600
chem:c000591640,chem:c000591640
chem:c000591713,chem:c000591713
chem:c000591719,chem:c000591719
chem:c000591741,chem:c000591741
chem:c000591795,chem:c000591795
chem:c000591836,chem:c000591836
chem:c000591860,chem:c000591860
chem:c000591895,chem:c000591895
chem:c000591922,chem:c000591922
chem:c000592052,chem:c000592052
chem:c000592118,chem:c000592118
chem:c000592273,chem:c000592273
chem:c000592351,chem:c000592351
chem:c000592353,chem:c000592353
chem:c000592751,chem:c000592751
chem:c000592767,chem:c000592767
chem:c000592878,chem:c000592878
chem:c000592885,chem:c000592885
chem:c000592886,chem:c000592886
chem:c000592889,chem:c000592889
chem:c000593016,chem:c000593016
chem:c000593030,chem:c000593030
chem:c000593032,chem:c000593032
chem:c000593130,chem:c000593130
chem:c000593263,chem:c000593263
chem:c000593334,chem:c000593334
chem:c000593436,chem:c000593436
chem:c000593591,chem:c000593591
chem:c000593592,chem:c000593592
chem:c000593705,chem:c000593705
chem:c000593811,chem:c000593811
chem:c000593977,chem:c000593977
chem:c000594115,chem:c000594115
chem:c000594117,chem:c000594117
chem:c000594309,chem:c000594309
chem:c000594493,chem:c000594493
chem:c000594496,chem:c000594496
chem:c000594735,chem:c000594735
chem:c000594853,chem:c000594853
chem:c000594859,chem:c000594859
chem:c000594958,chem:c000594958
chem:c000595015,chem:c000595015
chem:c000595148,chem:c000595148
chem:c000595149,chem:c000595149
chem:c000595156,chem:c000595156
chem:c000595192,chem:c000595192
chem:c000595209,chem:c000595209
chem:c000595213,chem:c000595213
chem:c000595215,chem:c000595215
chem:c000595230,chem:c000595230
chem:c000595304,chem:c000595304
chem:c000595449,chem:c000595449
chem:c000595501,chem:c000595501
chem:c000595611,chem:c000595611
chem:c000595640,chem:c000595640
chem:c000595925,chem:c000595925
chem:c000595926,chem:c000595926
chem:c000595972,chem:c000595972
chem:c000596027,chem:c000596027
chem:c000596114,chem:c000596114
chem:c000596149,chem:c000596149
chem:c000596174,chem:c000596174
chem:c000596184,chem:c000596184
chem:c000596361,chem:c000596361
chem:c000596409,chem:c000596409
chem:c000596494,chem:c000596494
chem:c000596770,chem:c000596770
chem:c000596937,chem:c000596937
chem:c000597094,chem:c000597094
chem:c000597136,chem:c000597136
chem:c000597192,chem:c000597192
chem:c000597234,chem:c000597234
chem:c000597302,chem:c000597302
chem:c000597426,chem:c000597426
chem:c000597466,chem:c000597466
chem:c000597478,chem:c000597478
chem:c000597561,chem:c000597561
chem:c000597570,chem:c000597570
chem:c000597572,chem:c000597572
chem:c000597695,chem:c000597695
chem:c000597780,chem:c000597780
chem:c000597819,chem:c000597819
chem:c000597852,chem:c000597852
chem:c000597862,chem:c000597862
chem:c000598109,chem:c000598109
chem:c000598200,chem:c000598200
chem:c000598201,chem:c000598201
chem:c000598211,chem:c000598211
chem:c000598216,chem:c000598216
chem:c000598422,chem:c000598422
chem:c000598518,chem:c000598518
chem:c000598619,chem:c000598619
chem:c000598659,chem:c000598659
chem:c000598690,chem:c000598690
chem:c000598691,chem:c000598691
chem:c000598729,chem:c000598729
chem:c000598755,chem:c000598755
chem:c000598873,chem:c000598873
chem:c000599091,chem:c000599091
chem:c000599093,chem:c000599093
chem:c000599178,chem:c000599178
chem:c000599179,chem:c000599179
chem:c000599185,chem:c000599185
chem:c000599236,chem:c000599236
chem:c000599307,chem:c000599307
chem:c000599671,chem:c000599671
chem:c000599672,chem:c000599672
chem:c000599870,chem:c000599870
chem:c000599896,chem:c000599896
chem:c000599935,chem:c000599935
chem:c000600161,chem:c000600161
chem:c000600304,chem:c000600304
chem:c000600309,chem:c000600309
chem:c000600334,chem:c000600334
chem:c000600490,chem:c000600490
chem:c000600531,chem:c000600531
chem:c000600670,chem:c000600670
chem:c000600690,chem:c000600690
chem:c000600804,chem:c000600804
chem:c000600805,chem:c000600805
chem:c000600816,chem:c000600816
chem:c000600817,chem:c000600817
chem:c000600819,chem:c000600819
chem:c000600849,chem:c000600849
chem:c000601052,chem:c000601052
chem:c000601074,chem:c000601074
chem:c000601106,chem:c000601106
chem:c000601179,chem:c000601179
chem:c000601293,chem:c000601293
chem:c000601815,chem:c000601815
chem:c000601816,chem:c000601816
chem:c000601996,chem:c000601996
chem:c000602001,chem:c000602001
chem:c000602007,chem:c000602007
chem:c000602008,chem:c000602008
chem:c000602093,chem:c000602093
chem:c000602096,chem:c000602096
chem:c000602100,chem:c000602100
chem:c000602225,chem:c000602225
chem:c000602261,chem:c000602261
chem:c000602275,chem:c000602275
chem:c000602458,chem:c000602458
chem:c000602510,chem:c000602510
chem:c000602566,chem:c000602566
chem:c000602588,chem:c000602588
chem:c000602674,chem:c000602674
chem:c000602704,chem:c000602704
chem:c000602816,chem:c000602816
chem:c000603033,chem:c000603033
chem:c000603149,chem:c000603149
chem:c000603150,chem:c000603150
chem:c000603178,chem:c000603178
chem:c000603302,chem:c000603302
chem:c000603336,chem:c000603336
chem:c000603415,chem:c000603415
chem:c000603489,chem:c000603489
chem:c000603500,chem:c000603500
chem:c000603501,chem:c000603501
chem:c000603579,chem:c000603579
chem:c000603674,chem:c000603674
chem:c000603860,chem:c000603860
chem:c000603861,chem:c000603861
chem:c000603962,chem:c000603962
chem:c000603978,chem:c000603978
chem:c000604051,chem:c000604051
chem:c000604114,chem:c000604114
chem:c000604132,chem:c000604132
chem:c000604217,chem:c000604217
chem:c000604219,chem:c000604219
chem:c000604281,chem:c000604281
chem:c000604515,chem:c000604515
chem:c000604516,chem:c000604516
chem:c000604517,chem:c000604517
chem:c000604573,chem:c000604573
chem:c000604580,chem:c000604580
chem:c000604601,chem:c000604601
chem:c000604653,chem:c000604653
chem:c000604698,chem:c000604698
chem:c000604795,chem:c000604795
chem:c000604852,chem:c000604852
chem:c000604908,chem:c000604908
chem:c000604982,chem:c000604982
chem:c000605003,chem:c000605003
chem:c000605226,chem:c000605226
chem:c000605331,chem:c000605331
chem:c000605748,chem:c000605748
chem:c000606134,chem:c000606134
chem:c000606252,chem:c000606252
chem:c000606272,chem:c000606272
chem:c000606289,chem:c000606289
chem:c000606526,chem:c000606526
chem:c000606543,chem:c000606543
chem:c000606545,chem:c000606545
chem:c000606551,chem:c000606551
chem:c000606649,chem:c000606649
chem:c000606936,chem:c000606936
chem:c000606994,chem:c000606994
chem:c000607033,chem:c000607033
chem:c000607202,chem:c000607202
chem:c000607342,chem:c000607342
chem:c000607343,chem:c000607343
chem:c000607554,chem:c000607554
chem:c000607970,chem:c000607970
chem:c000608118,chem:c000608118
chem:c000608121,chem:c000608121
chem:c000608250,chem:c000608250
chem:c000608332,chem:c000608332
chem:c000608473,chem:c000608473
chem:c000608559,chem:c000608559
chem:c000608699,chem:c000608699
chem:c000608764,chem:c000608764
chem:c000608765,chem:c000608765
chem:c000609116,chem:c000609116
chem:c000609287,chem:c000609287
chem:c000609387,chem:c000609387
chem:c000609471,chem:c000609471
chem:c000609563,chem:c000609563
chem:c000609635,chem:c000609635
chem:c000609690,chem:c000609690
chem:c000609743,chem:c000609743
chem:c000609801,chem:c000609801
chem:c000609819,chem:c000609819
chem:c000609888,chem:c000609888
chem:c000609924,chem:c000609924
chem:c000610085,chem:c000610085
chem:c000610109,chem:c000610109
chem:c000610380,chem:c000610380
chem:c000611223,chem:c000611223
chem:c000611307,chem:c000611307
chem:c000611322,chem:c000611322
chem:c000611335,chem:c000611335
chem:c000611379,chem:c000611379
chem:c000611514,chem:c000611514
chem:c000611541,chem:c000611541
chem:c000611646,chem:c000611646
chem:c000611729,chem:c000611729
chem:c000612000,chem:c000612000
chem:c000612070,chem:c000612070
chem:c000612090,chem:c000612090
chem:c000612164,chem:c000612164
chem:c000612263,chem:c000612263
chem:c000612304,chem:c000612304
chem:c000612485,chem:c000612485
chem:c000612980,chem:c000612980
chem:c000613053,chem:c000613053
chem:c000613078,chem:c000613078
chem:c000613150,chem:c000613150
chem:c000613347,chem:c000613347
chem:c000613752,chem:c000613752
chem:c000613766,chem:c000613766
chem:c000613818,chem:c000613818
chem:c000613875,chem:c000613875
chem:c000613963,chem:c000613963
chem:c000613964,chem:c000613964
