word,keyge,status,commute
MESH:C538288,dise:C538288,1,1
MESH:C535484,dise:C535484,1,1
MESH:C579849,dise:C579849,1,1
MESH:C579850,dise:C579850,1,1
MESH:C567076,dise:C567076,1,1
MESH:C537805,dise:C537805,1,1
MESH:C537806,dise:C537806,1,1
MESH:D058165,dise:D058165,1,1
MESH:C565624,dise:C565624,1,1
MESH:C535305,dise:C535305,1,1
MESH:C535306,dise:C535306,1,1
MESH:C535307,dise:C535307,1,1
MESH:C566487,dise:C566487,1,1
MESH:C535313,dise:C535313,1,1
MESH:C538324,dise:C538324,1,1
MESH:C567784,dise:C567784,1,1
MESH:C535310,dise:C535310,1,1
MESH:C535312,dise:C535312,1,1
MESH:C535308,dise:C535308,1,1
MESH:C535309,dise:C535309,1,1
MESH:C579867,dise:C579867,1,1
MESH:C562801,dise:C562801,1,1
MESH:C565393,dise:C565393,1,1
MESH:C565706,dise:C565706,1,1
OMIM:616271,dise:616271,1,1
OMIM:617248,dise:617248,1,1
OMIM:614739,dise:614739,1,1
MESH:D058489,dise:D058489,1,1
MESH:C535316,dise:C535316,1,1
MESH:C567597,dise:C567597,1,1
OMIM:400045,dise:400045,1,1
OMIM:278850,dise:278850,1,1
OMIM:300833,dise:300833,1,1
OMIM:611812,dise:611812,1,1
MESH:D058531,dise:D058531,1,1
MESH:C536769,dise:C536769,1,1
MESH:C565537,dise:C565537,1,1
MESH:C567574,dise:C567574,1,1
MESH:C567773,dise:C567773,1,1
OMIM:400044,dise:400044,1,1
OMIM:616425,dise:616425,1,1
MESH:C567887,dise:C567887,1,1
MESH:C567766,dise:C567766,1,1
OMIM:613762,dise:613762,1,1
OMIM:616067,dise:616067,1,1
MESH:C567575,dise:C567575,1,1
MESH:C535317,dise:C535317,1,1
MESH:C535319,dise:C535319,1,1
MESH:C535315,dise:C535315,1,1
MESH:C531667,dise:C531667,1,1
OMIM:143460,dise:143460,1,1
MESH:C535321,dise:C535321,1,1
MESH:C535322,dise:C535322,1,1
MESH:C566803,dise:C566803,1,1
MESH:C535325,dise:C535325,1,1
MESH:C579872,dise:C579872,1,1
MESH:C537810,dise:C537810,1,1
MESH:C537818,dise:C537818,1,1
MESH:C579873,dise:C579873,1,1
MESH:C000718787,dise:C000718787,1,1
MESH:C535330,dise:C535330,1,1
MESH:C535331,dise:C535331,1,1
OMIM:100050,dise:100050,1,1
MESH:C535332,dise:C535332,1,1
MESH:C538442,dise:C538442,1,1
MESH:C579754,dise:C579754,1,1
MESH:C535334,dise:C535334,1,1
MESH:C535335,dise:C535335,1,1
MESH:D000006,dise:D000006,1,1
MESH:D018784,dise:D018784,1,1
MESH:C535552,dise:C535552,1,1
MESH:C535553,dise:C535553,1,1
MESH:D000007,dise:D000007,1,1
MESH:D000008,dise:D000008,1,1
MESH:C535554,dise:C535554,1,1
OMIM:605552,dise:605552,1,1
OMIM:615812,dise:615812,1,1
MESH:D015746,dise:D015746,1,1
MESH:D020434,dise:D020434,1,1
MESH:D020222,dise:D020222,1,1
MESH:D058739,dise:D058739,1,1
MESH:C535555,dise:C535555,1,1
MESH:D000012,dise:D000012,1,1
MESH:C540309,dise:C540309,1,1
MESH:C535556,dise:C535556,1,1
MESH:C535557,dise:C535557,1,1
MESH:C536375,dise:C536375,1,1
MESH:D000014,dise:D000014,1,1
MESH:D000015,dise:D000015,1,1
MESH:D000016,dise:D000016,1,1
MESH:D009008,dise:D009008,1,1
MESH:D059786,dise:D059786,1,1
MESH:D000026,dise:D000026,1,1
MESH:D000027,dise:D000027,1,1
MESH:D000030,dise:D000030,1,1
MESH:D000031,dise:D000031,1,1
MESH:D000022,dise:D000022,1,1
