word,keyge,status,commute
KEGG:hsa_M00001,PATH:hsa_M00001,1,1
KEGG:hsa_M00002,PATH:hsa_M00002,1,1
KEGG:hsa_M00003,PATH:hsa_M00003,1,1
KEGG:hsa_M00004,PATH:hsa_M00004,1,1
KEGG:hsa_M00005,PATH:hsa_M00005,1,1
KEGG:hsa_M00006,PATH:hsa_M00006,1,1
KEGG:hsa_M00007,PATH:hsa_M00007,1,1
KEGG:hsa_M00009,PATH:hsa_M00009,1,1
KEGG:hsa_M00010,PATH:hsa_M00010,1,1
KEGG:hsa_M00011,PATH:hsa_M00011,1,1
KEGG:hsa_M00013,PATH:hsa_M00013,1,1
KEGG:hsa_M00014,PATH:hsa_M00014,1,1
KEGG:hsa_M00015,PATH:hsa_M00015,1,1
KEGG:hsa_M00020,PATH:hsa_M00020,1,1
KEGG:hsa_M00027,PATH:hsa_M00027,1,1
KEGG:hsa_M00029,PATH:hsa_M00029,1,1
KEGG:hsa_M00032,PATH:hsa_M00032,1,1
KEGG:hsa_M00034,PATH:hsa_M00034,1,1
KEGG:hsa_M00035,PATH:hsa_M00035,1,1
KEGG:hsa_M00036,PATH:hsa_M00036,1,1
KEGG:hsa_M00037,PATH:hsa_M00037,1,1
KEGG:hsa_M00042,PATH:hsa_M00042,1,1
KEGG:hsa_M00043,PATH:hsa_M00043,1,1
KEGG:hsa_M00044,PATH:hsa_M00044,1,1
KEGG:hsa_M00046,PATH:hsa_M00046,1,1
KEGG:hsa_M00047,PATH:hsa_M00047,1,1
KEGG:hsa_M00048,PATH:hsa_M00048,1,1
KEGG:hsa_M00049,PATH:hsa_M00049,1,1
KEGG:hsa_M00050,PATH:hsa_M00050,1,1
KEGG:hsa_M00051,PATH:hsa_M00051,1,1
KEGG:hsa_M00052,PATH:hsa_M00052,1,1
KEGG:hsa_M00055,PATH:hsa_M00055,1,1
KEGG:hsa_M00056,PATH:hsa_M00056,1,1
KEGG:hsa_M00057,PATH:hsa_M00057,1,1
KEGG:hsa_M00058,PATH:hsa_M00058,1,1
KEGG:hsa_M00059,PATH:hsa_M00059,1,1
KEGG:hsa_M00065,PATH:hsa_M00065,1,1
KEGG:hsa_M00066,PATH:hsa_M00066,1,1
KEGG:hsa_M00067,PATH:hsa_M00067,1,1
KEGG:hsa_M00068,PATH:hsa_M00068,1,1
KEGG:hsa_M00069,PATH:hsa_M00069,1,1
KEGG:hsa_M00070,PATH:hsa_M00070,1,1
KEGG:hsa_M00071,PATH:hsa_M00071,1,1
KEGG:hsa_M00072,PATH:hsa_M00072,1,1
KEGG:hsa_M00073,PATH:hsa_M00073,1,1
KEGG:hsa_M00075,PATH:hsa_M00075,1,1
KEGG:hsa_M00076,PATH:hsa_M00076,1,1
KEGG:hsa_M00077,PATH:hsa_M00077,1,1
KEGG:hsa_M00078,PATH:hsa_M00078,1,1
KEGG:hsa_M00079,PATH:hsa_M00079,1,1
KEGG:hsa_M00082,PATH:hsa_M00082,1,1
KEGG:hsa_M00083,PATH:hsa_M00083,1,1
KEGG:hsa_M00085,PATH:hsa_M00085,1,1
KEGG:hsa_M00086,PATH:hsa_M00086,1,1
KEGG:hsa_M00087,PATH:hsa_M00087,1,1
KEGG:hsa_M00089,PATH:hsa_M00089,1,1
KEGG:hsa_M00090,PATH:hsa_M00090,1,1
KEGG:hsa_M00091,PATH:hsa_M00091,1,1
KEGG:hsa_M00092,PATH:hsa_M00092,1,1
KEGG:hsa_M00094,PATH:hsa_M00094,1,1
KEGG:hsa_M00095,PATH:hsa_M00095,1,1
KEGG:hsa_M00098,PATH:hsa_M00098,1,1
KEGG:hsa_M00099,PATH:hsa_M00099,1,1
KEGG:hsa_M00100,PATH:hsa_M00100,1,1
KEGG:hsa_M00101,PATH:hsa_M00101,1,1
KEGG:hsa_M00103,PATH:hsa_M00103,1,1
KEGG:hsa_M00104,PATH:hsa_M00104,1,1
KEGG:hsa_M00106,PATH:hsa_M00106,1,1
KEGG:hsa_M00107,PATH:hsa_M00107,1,1
KEGG:hsa_M00108,PATH:hsa_M00108,1,1
KEGG:hsa_M00109,PATH:hsa_M00109,1,1
KEGG:hsa_M00110,PATH:hsa_M00110,1,1
KEGG:hsa_M00118,PATH:hsa_M00118,1,1
KEGG:hsa_M00120,PATH:hsa_M00120,1,1
KEGG:hsa_M00128,PATH:hsa_M00128,1,1
KEGG:hsa_M00130,PATH:hsa_M00130,1,1
KEGG:hsa_M00131,PATH:hsa_M00131,1,1
KEGG:hsa_M00132,PATH:hsa_M00132,1,1
KEGG:hsa_M00133,PATH:hsa_M00133,1,1
KEGG:hsa_M00134,PATH:hsa_M00134,1,1
KEGG:hsa_M00135,PATH:hsa_M00135,1,1
KEGG:hsa_M00141,PATH:hsa_M00141,1,1
KEGG:hsa_M00142,PATH:hsa_M00142,1,1
KEGG:hsa_M00143,PATH:hsa_M00143,1,1
KEGG:hsa_M00146,PATH:hsa_M00146,1,1
KEGG:hsa_M00147,PATH:hsa_M00147,1,1
KEGG:hsa_M00148,PATH:hsa_M00148,1,1
KEGG:hsa_M00151,PATH:hsa_M00151,1,1
KEGG:hsa_M00152,PATH:hsa_M00152,1,1
KEGG:hsa_M00154,PATH:hsa_M00154,1,1
KEGG:hsa_M00158,PATH:hsa_M00158,1,1
