keyge,word
down,down
fragilex,fragilex
klinefelter,klinefelter
triple-x,triple-x
turner,turner
trisomy,trisomy
alzheimer,alzheimer
arthritis,arthritis
autism,autism
cancer,cancer
coronary,coronary
diabetes,diabetes
migraine,migraine
spina,spina
cystic,cystic
fibrosis,fibrosis
deafness,deafness
duchenne,duchenne
dystrophy,dystrophy
hypercholesterolemia,hypercholesterolemia
hemochromatosis,hemochromatosis
neurofibromatosis,neurofibromatosis
sickle,sickle
tay-sachs,tay-sachs
anyloidosis,anyloidosis
adrenoleukodystrophy,adrenoleukodystrophy
ehlers-danlos,ehlers-danlos
mitochondrial,mitochondrial
usher,usher
