keyge,word
lithium,lithium
beryllium,beryllium
sodium,sodium
magnesium,magnesium
aluminum,aluminum
potassium,potassium
calcium,calcium
scandium,scandium
titanium,titanium
vanadium,vanadium
chromium,chromium
manganese,manganese
iron,iron
cobalt,cobalt
nickel,nickel
copper,copper
zinc,zinc
gallium,gallium
rubidium,rubidium
strontium,strontium
yttrium,yttrium
zirconium,zirconium
niobium,niobium
molybdenum,molybdenum
technetium,technetium
ruthenium,ruthenium
rhodium,rhodium
palladium,palladium
silver,silver
cadmium,cadmium
indium,indium
tin,tin
cesium,cesium
barium,barium
lanthanum,lanthanum
cerium,cerium
praseodymium,praseodymium
neodymium,neodymium
promethium,promethium
samarium,samarium
europium,europium
gadolinium,gadolinium
terbium,terbium
dysprosium,dysprosium
holmium,holmium
erbium,erbium
thulium,thulium
ytterbium,ytterbium
lutetium,lutetium
hafnium,hafnium
tantalum,tantalum
tungsten,tungsten
rhenium,rhenium
osmium,osmium
iridium,iridium
platinum,platinum
gold,gold
mercury,mercury
thallium,thallium
lead,lead
bismuth,bismuth
polonium,polonium
francium,francium
radium,radium
actinium,actinium
thorium,thorium
protactinium,protactinium
uranium,uranium
neptunium,neptunium
plutonium,plutonium
americium,americium
curium,curium
berkelium,berkelium
californium,californium
einsteinium,einsteinium
fermium,fermium
mendelevium,mendelevium
nobelium,nobelium
lawrencium,lawrencium
rutherfordium,rutherfordium
dubnium,dubnium
seaborgium,seaborgium
bohrium,bohrium
hassium,hassium
meitnerium,meitnerium
darmstadtium,darmstadtium
roentgenium,roentgenium
copernicium,copernicium
nihonium,nihonium
flerovium,flerovium
moscovium,moscovium
livermorium,livermorium
lithium,li
beryllium,be
sodium,na
magnesium,mg
aluminum,al
potassium,k
calcium,ca
scandium,sc
titanium,ti
vanadium,v
chromium,cr
manganese,mn
iron,fe
cobalt,co
nickel,ni
copper,cu
zinc,zn
gallium,ga
rubidium,rb
strontium,sr
yttrium,y
zirconium,zr
niobium,nb
molybdenum,mo
technetium,tc
ruthenium,ru
rhodium,rh
palladium,pd
silver,ag
cadmium,cd
indium,in
tin,sn
cesium,cs
barium,ba
lanthanum,la
cerium,ce
praseodymium,pr
neodymium,nd
promethium,pm
samarium,sm
europium,eu
gadolinium,gd
terbium,tb
dysprosium,dy
holmium,ho
erbium,er
thulium,tm
ytterbium,yb
lutetium,lu
hafnium,hf
tantalum,ta
tungsten,w
rhenium,re
osmium,os
iridium,ir
platinum,pt
gold,au
mercury,hg
thallium,tl
lead,pb
bismuth,bi
polonium,po
francium,fr
radium,ra
actinium,ac
thorium,th
protactinium,pa
uranium,u
neptunium,np
plutonium,pu
americium,am
curium,cm
berkelium,bk
californium,cf
einsteinium,es
fermium,fm
mendelevium,md
nobelium,no
lawrencium,lr
rutherfordium,rf
dubnium,db
seaborgium,sg
bohrium,bh
hassium,hs
meitnerium,mt
darmstadtium,ds
roentgenium,rg
copernicium,cn
nihonium,nh
flerovium,fl
moscovium,mc
livermorium,lv
