term,word,status,commute
1-SF,1-SF,TRUE,FALSE
11-BETA-HSD3,11-BETA-HSD3,TRUE,FALSE
128UP,128UP,TRUE,FALSE
14-3-3EPSILON,14-3-3EPSILON,TRUE,FALSE
14-3-3ZETA,14-3-3ZETA,TRUE,FALSE
143B1,143B1,TRUE,FALSE
143B2,143B2,TRUE,FALSE
18W,18W,TRUE,FALSE
42SP43,42SP43,TRUE,FALSE
42SP50,42SP50,TRUE,FALSE
42SP50.L,42SP50.L,TRUE,FALSE
4R79.2,4R79.2,TRUE,FALSE
5-HT1B,5-HT1B,TRUE,FALSE
5-HT7,5-HT7,TRUE,FALSE
7B2,7B2,TRUE,FALSE
A10,A10,TRUE,FALSE
A1BG,A1BG,TRUE,FALSE
A1BG-AS1,A1BG-AS1,TRUE,FALSE
A1CF,A1CF,TRUE,FALSE
A2,A2,TRUE,FALSE
A26C2,A26C2,TRUE,FALSE
A2M,A2M,TRUE,FALSE
A2M-AS1,A2M-AS1,TRUE,FALSE
A2ML,A2ML,TRUE,FALSE
A2ML1,A2ML1,TRUE,FALSE
A2ML1.L,A2ML1.L,TRUE,FALSE
A2MP1,A2MP1,TRUE,FALSE
A3,A3,TRUE,FALSE
A3GALT2,A3GALT2,TRUE,FALSE
A4GALT,A4GALT,TRUE,FALSE
A4GNT,A4GNT,TRUE,FALSE
AAA1,AAA1,TRUE,FALSE
AAAS,AAAS,TRUE,FALSE
AACS,AACS,TRUE,FALSE
AACSP1,AACSP1,TRUE,FALSE
AADAC,AADAC,TRUE,FALSE
AADACL2,AADACL2,TRUE,FALSE
AADACL2FM2,AADACL2FM2,TRUE,FALSE
AADACL3,AADACL3,TRUE,FALSE
AADACL4,AADACL4,TRUE,FALSE
AADACL4FM3,AADACL4FM3,TRUE,FALSE
AADACL4FM4,AADACL4FM4,TRUE,FALSE
AADACP1,AADACP1,TRUE,FALSE
AADAT,AADAT,TRUE,FALSE
AAED1,AAED1,TRUE,FALSE
AAGAB,AAGAB,TRUE,FALSE
AAGR-1,AAGR-1,TRUE,FALSE
AAGR-2,AAGR-2,TRUE,FALSE
AAGR-3,AAGR-3,TRUE,FALSE
AAGR-4,AAGR-4,TRUE,FALSE
AAK-1,AAK-1,TRUE,FALSE
AAK-2,AAK-2,TRUE,FALSE
AAK1,AAK1,TRUE,FALSE
AAK1A,AAK1A,TRUE,FALSE
AAK1B,AAK1B,TRUE,FALSE
AAKG-2,AAKG-2,TRUE,FALSE
AAKG-4,AAKG-4,TRUE,FALSE
AAMDC,AAMDC,TRUE,FALSE
AAMP,AAMP,TRUE,FALSE
AANAT,AANAT,TRUE,FALSE
AANAT1,AANAT1,TRUE,FALSE
AANAT2,AANAT2,TRUE,FALSE
AAP-1,AAP-1,TRUE,FALSE
AAR2,AAR2,TRUE,FALSE
AARD,AARD,TRUE,FALSE
AARS,AARS,TRUE,FALSE
AARS1,AARS1,TRUE,FALSE
AARS2,AARS2,TRUE,FALSE
AARSD1,AARSD1,TRUE,FALSE
AASDH,AASDH,TRUE,FALSE
AASDHPPT,AASDHPPT,TRUE,FALSE
AASS,AASS,TRUE,FALSE
AASS.L,AASS.L,TRUE,FALSE
AAT-1,AAT-1,TRUE,FALSE
AAT-3,AAT-3,TRUE,FALSE
AAT-4,AAT-4,TRUE,FALSE
AAT-8,AAT-8,TRUE,FALSE
AAT1,AAT1,TRUE,FALSE
AATBC,AATBC,TRUE,FALSE
AATF,AATF,TRUE,FALSE
AATK,AATK,TRUE,FALSE
AATKB,AATKB,TRUE,FALSE
AAY,AAY,TRUE,FALSE
AB,AB,TRUE,FALSE
AB010352,AB010352,TRUE,FALSE
AB124611,AB124611,TRUE,FALSE
AB14B,AB14B,TRUE,FALSE
ABALON,ABALON,TRUE,FALSE
ABAT,ABAT,TRUE,FALSE
ABAT.L,ABAT.L,TRUE,FALSE
ABB,ABB,TRUE,FALSE
ABCA1,ABCA1,TRUE,FALSE
ABCA10,ABCA10,TRUE,FALSE
ABCA11P,ABCA11P,TRUE,FALSE
ABCA12,ABCA12,TRUE,FALSE
ABCA13,ABCA13,TRUE,FALSE
ABCA14,ABCA14,TRUE,FALSE
ABCA15,ABCA15,TRUE,FALSE
ABCA16,ABCA16,TRUE,FALSE
ABCA17,ABCA17,TRUE,FALSE
ABCA17P,ABCA17P,TRUE,FALSE
ABCA1A,ABCA1A,TRUE,FALSE
ABCA1B,ABCA1B,TRUE,FALSE
ABCA2,ABCA2,TRUE,FALSE
ABCA3,ABCA3,TRUE,FALSE
ABCA3B,ABCA3B,TRUE,FALSE
ABCA4,ABCA4,TRUE,FALSE
ABCA4A,ABCA4A,TRUE,FALSE
ABCA4B,ABCA4B,TRUE,FALSE
ABCA5,ABCA5,TRUE,FALSE
ABCA6,ABCA6,TRUE,FALSE
ABCA7,ABCA7,TRUE,FALSE
ABCA8,ABCA8,TRUE,FALSE
ABCA8A,ABCA8A,TRUE,FALSE
ABCA8B,ABCA8B,TRUE,FALSE
ABCA9,ABCA9,TRUE,FALSE
ABCB1,ABCB1,TRUE,FALSE
ABCB10,ABCB10,TRUE,FALSE
ABCB11,ABCB11,TRUE,FALSE
ABCB11A,ABCB11A,TRUE,FALSE
ABCB11B,ABCB11B,TRUE,FALSE
ABCB1A,ABCB1A,TRUE,FALSE
ABCB1B,ABCB1B,TRUE,FALSE
ABCB1LA,ABCB1LA,TRUE,FALSE
ABCB4,ABCB4,TRUE,FALSE
ABCB5,ABCB5,TRUE,FALSE
ABCB6,ABCB6,TRUE,FALSE
ABCB6A,ABCB6A,TRUE,FALSE
ABCB6B,ABCB6B,TRUE,FALSE
ABCB7,ABCB7,TRUE,FALSE
ABCB8,ABCB8,TRUE,FALSE
ABCB9,ABCB9,TRUE,FALSE
ABCC1,ABCC1,TRUE,FALSE
ABCC10,ABCC10,TRUE,FALSE
ABCC11,ABCC11,TRUE,FALSE
ABCC12,ABCC12,TRUE,FALSE
ABCC13,ABCC13,TRUE,FALSE
ABCC2,ABCC2,TRUE,FALSE
ABCC3,ABCC3,TRUE,FALSE
ABCC4,ABCC4,TRUE,FALSE
ABCC5,ABCC5,TRUE,FALSE
ABCC6,ABCC6,TRUE,FALSE
ABCC6A,ABCC6A,TRUE,FALSE
ABCC6B.1,ABCC6B.1,TRUE,FALSE
ABCC6B.2,ABCC6B.2,TRUE,FALSE
ABCC6P1,ABCC6P1,TRUE,FALSE
ABCC6P2,ABCC6P2,TRUE,FALSE
ABCC8,ABCC8,TRUE,FALSE
ABCC9,ABCC9,TRUE,FALSE
ABCD1,ABCD1,TRUE,FALSE
ABCD2,ABCD2,TRUE,FALSE
ABCD3,ABCD3,TRUE,FALSE
ABCD3A,ABCD3A,TRUE,FALSE
ABCD3B,ABCD3B,TRUE,FALSE
ABCD4,ABCD4,TRUE,FALSE
ABCE-1,ABCE-1,TRUE,FALSE
ABCE1,ABCE1,TRUE,FALSE
ABCF-1,ABCF-1,TRUE,FALSE
ABCF-2,ABCF-2,TRUE,FALSE
ABCF1,ABCF1,TRUE,FALSE
ABCF2,ABCF2,TRUE,FALSE
ABCF2A,ABCF2A,TRUE,FALSE
ABCF2B,ABCF2B,TRUE,FALSE
ABCF3,ABCF3,TRUE,FALSE
ABCG1,ABCG1,TRUE,FALSE
ABCG2,ABCG2,TRUE,FALSE
ABCG2A,ABCG2A,TRUE,FALSE
ABCG2B,ABCG2B,TRUE,FALSE
ABCG2C,ABCG2C,TRUE,FALSE
ABCG2D,ABCG2D,TRUE,FALSE
ABCG3,ABCG3,TRUE,FALSE
ABCG3L1,ABCG3L1,TRUE,FALSE
ABCG3L2,ABCG3L2,TRUE,FALSE
ABCG3L3,ABCG3L3,TRUE,FALSE
ABCG3L4,ABCG3L4,TRUE,FALSE
ABCG4,ABCG4,TRUE,FALSE
ABCG5,ABCG5,TRUE,FALSE
ABCG8,ABCG8,TRUE,FALSE
ABCH-1,ABCH-1,TRUE,FALSE
ABCH1,ABCH1,TRUE,FALSE
ABD-A,ABD-A,TRUE,FALSE
ABD-B,ABD-B,TRUE,FALSE
ABF-1,ABF-1,TRUE,FALSE
ABF-2,ABF-2,TRUE,FALSE
ABHD-11.2,ABHD-11.2,TRUE,FALSE
ABHD-14,ABHD-14,TRUE,FALSE
ABHD-3.2,ABHD-3.2,TRUE,FALSE
ABHD-5.1,ABHD-5.1,TRUE,FALSE
ABHD-5.2,ABHD-5.2,TRUE,FALSE
ABHD1,ABHD1,TRUE,FALSE
ABHD10,ABHD10,TRUE,FALSE
ABHD10A,ABHD10A,TRUE,FALSE
ABHD10B,ABHD10B,TRUE,FALSE
ABHD11,ABHD11,TRUE,FALSE
ABHD11-AS1,ABHD11-AS1,TRUE,FALSE
ABHD11OS,ABHD11OS,TRUE,FALSE
ABHD12,ABHD12,TRUE,FALSE
ABHD12B,ABHD12B,TRUE,FALSE
ABHD13,ABHD13,TRUE,FALSE
ABHD14A,ABHD14A,TRUE,FALSE
ABHD14A-ACY1,ABHD14A-ACY1,TRUE,FALSE
ABHD14B,ABHD14B,TRUE,FALSE
ABHD15,ABHD15,TRUE,FALSE
ABHD15A,ABHD15A,TRUE,FALSE
ABHD16A,ABHD16A,TRUE,FALSE
ABHD16B,ABHD16B,TRUE,FALSE
ABHD17A,ABHD17A,TRUE,FALSE
ABHD17AA,ABHD17AA,TRUE,FALSE
ABHD17AB,ABHD17AB,TRUE,FALSE
ABHD17AP1,ABHD17AP1,TRUE,FALSE
ABHD17AP4,ABHD17AP4,TRUE,FALSE
ABHD17AP6,ABHD17AP6,TRUE,FALSE
ABHD17B,ABHD17B,TRUE,FALSE
ABHD17C,ABHD17C,TRUE,FALSE
ABHD18,ABHD18,TRUE,FALSE
ABHD2,ABHD2,TRUE,FALSE
ABHD2A,ABHD2A,TRUE,FALSE
ABHD2B,ABHD2B,TRUE,FALSE
ABHD3,ABHD3,TRUE,FALSE
ABHD4,ABHD4,TRUE,FALSE
ABHD5,ABHD5,TRUE,FALSE
ABHD6,ABHD6,TRUE,FALSE
ABHD6A,ABHD6A,TRUE,FALSE
ABHD6B,ABHD6B,TRUE,FALSE
ABHD8,ABHD8,TRUE,FALSE
ABHD8A,ABHD8A,TRUE,FALSE
ABHD8B,ABHD8B,TRUE,FALSE
ABHEA,ABHEA,TRUE,FALSE
ABI1,ABI1,TRUE,FALSE
ABI1A,ABI1A,TRUE,FALSE
ABI1B,ABI1B,TRUE,FALSE
ABI2,ABI2,TRUE,FALSE
ABI2A,ABI2A,TRUE,FALSE
ABI3,ABI3,TRUE,FALSE
ABI3A,ABI3A,TRUE,FALSE
ABI3BP,ABI3BP,TRUE,FALSE
ABI3BPB,ABI3BPB,TRUE,FALSE
ABITRAM,ABITRAM,TRUE,FALSE
ABITRAMP1,ABITRAMP1,TRUE,FALSE
ABL,ABL,TRUE,FALSE
ABL-1,ABL-1,TRUE,FALSE
ABL1,ABL1,TRUE,FALSE
ABL2,ABL2,TRUE,FALSE
ABLIM1,ABLIM1,TRUE,FALSE
ABLIM1A,ABLIM1A,TRUE,FALSE
ABLIM1B,ABLIM1B,TRUE,FALSE
ABLIM2,ABLIM2,TRUE,FALSE
ABLIM3,ABLIM3,TRUE,FALSE
ABO,ABO,TRUE,FALSE
ABO2,ABO2,TRUE,FALSE
ABO3,ABO3,TRUE,FALSE
ABP1,ABP1,TRUE,FALSE
ABR,ABR,TRUE,FALSE
